Dapma7bEVm000001	DAPPUDRAFT_43826
Dapma7bEVm002637	DAPPUDRAFT_199162;DAPPUDRAFT_249955;DAPPUDRAFT_347603;DAPPUDRAFT_64687;DAPPUDRAFT_68162
Dapma7bEVm002638	DAPPUDRAFT_305054
Dapma7bEVm002639	DAPPUDRAFT_303552
Dapma7bEVm002640	DAPPUDRAFT_302098;DAPPUDRAFT_302099
Dapma7bEVm002641	DAPPUDRAFT_113641;DAPPUDRAFT_200087;DAPPUDRAFT_226800;DAPPUDRAFT_258510;DAPPUDRAFT_300931;DAPPUDRAFT_57425
Dapma7bEVm002642	DAPPUDRAFT_46633
Dapma7bEVm002643	DAPPUDRAFT_227800;DAPPUDRAFT_256736;DAPPUDRAFT_302856
Dapma7bEVm002644	DAPPUDRAFT_300700
Dapma7bEVm002645	DAPPUDRAFT_308688
Dapma7bEVm002646	
Dapma7bEVm002647	DAPPUDRAFT_319466
Dapma7bEVm002648	DAPPUDRAFT_94386
Dapma7bEVm002649	DAPPUDRAFT_220689
Dapma7bEVm002650	DAPPUDRAFT_221352;DAPPUDRAFT_304091
Dapma7bEVm002651	DAPPUDRAFT_302710
Dapma7bEVm002652	DAPPUDRAFT_1878
Dapma7bEVm002653	DAPPUDRAFT_300875
Dapma7bEVm002654	DAPPUDRAFT_57798
Dapma7bEVm002655	DAPPUDRAFT_106506;DAPPUDRAFT_198635
Dapma7bEVm002656	DAPPUDRAFT_300104
Dapma7bEVm002657	DAPPUDRAFT_325206
Dapma7bEVm002658	DAPPUDRAFT_305061
Dapma7bEVm002659	DAPPUDRAFT_224137
Dapma7bEVm002660	DAPPUDRAFT_304379
Dapma7bEVm002661	DAPPUDRAFT_196636
Dapma7bEVm002662	DAPPUDRAFT_109956
Dapma7bEVm002663	DAPPUDRAFT_309055
Dapma7bEVm002664	DAPPUDRAFT_48661
Dapma7bEVm002665	DAPPUDRAFT_300887
Dapma7bEVm002666	DAPPUDRAFT_315895
Dapma7bEVm002667	DAPPUDRAFT_300353
Dapma7bEVm002668	DAPPUDRAFT_236331;DAPPUDRAFT_46947
Dapma7bEVm002669	DAPPUDRAFT_313782
Dapma7bEVm002670	DAPPUDRAFT_44682
Dapma7bEVm002671	DAPPUDRAFT_305733
Dapma7bEVm002672	DAPPUDRAFT_331029
Dapma7bEVm002673	DAPPUDRAFT_189897;DAPPUDRAFT_232075;DAPPUDRAFT_232076;DAPPUDRAFT_39671
Dapma7bEVm002674	DAPPUDRAFT_334106
Dapma7bEVm002675	DAPPUDRAFT_109962
Dapma7bEVm002676	DAPPUDRAFT_251853;DAPPUDRAFT_307273;DAPPUDRAFT_307274;DAPPUDRAFT_318327
Dapma7bEVm002677	DAPPUDRAFT_213340
Dapma7bEVm002678	DAPPUDRAFT_225024
Dapma7bEVm002679	DAPPUDRAFT_306090
Dapma7bEVm002680	DAPPUDRAFT_115388;DAPPUDRAFT_266058;DAPPUDRAFT_300095;DAPPUDRAFT_304255
Dapma7bEVm002681	DAPPUDRAFT_59378
Dapma7bEVm002682	DAPPUDRAFT_111514;DAPPUDRAFT_115649;DAPPUDRAFT_115653;DAPPUDRAFT_227862;DAPPUDRAFT_229458;DAPPUDRAFT_245401;DAPPUDRAFT_302130;DAPPUDRAFT_302756;DAPPUDRAFT_304321;DAPPUDRAFT_307959;DAPPUDRAFT_308801;DAPPUDRAFT_312287;DAPPUDRAFT_317991;DAPPUDRAFT_318025;DAPPUDRAFT_319139;DAPPUDRAFT_319555;DAPPUDRAFT_321417;DAPPUDRAFT_325612;DAPPUDRAFT_327053;DAPPUDRAFT_328900;DAPPUDRAFT_338193;DAPPUDRAFT_341021;DAPPUDRAFT_341228
Dapma7bEVm002683	DAPPUDRAFT_2636
Dapma7bEVm002684	DAPPUDRAFT_97261
Dapma7bEVm002685	DAPPUDRAFT_192996
Dapma7bEVm002686	DAPPUDRAFT_224649
Dapma7bEVm002687	DAPPUDRAFT_205741
Dapma7bEVm002688	DAPPUDRAFT_317592
Dapma7bEVm002689	DAPPUDRAFT_211626
Dapma7bEVm002690	DAPPUDRAFT_315834
Dapma7bEVm002691	DAPPUDRAFT_318727
Dapma7bEVm002692	DAPPUDRAFT_45220
Dapma7bEVm002693	DAPPUDRAFT_41338
Dapma7bEVm002694	
Dapma7bEVm002695	DAPPUDRAFT_223699
Dapma7bEVm002696	DAPPUDRAFT_208990
Dapma7bEVm002697	DAPPUDRAFT_220530;DAPPUDRAFT_310424
Dapma7bEVm002698	DAPPUDRAFT_54762
Dapma7bEVm002699	DAPPUDRAFT_303461
Dapma7bEVm002700	DAPPUDRAFT_111514;DAPPUDRAFT_115649;DAPPUDRAFT_115653;DAPPUDRAFT_227862;DAPPUDRAFT_229458;DAPPUDRAFT_245401;DAPPUDRAFT_302130;DAPPUDRAFT_302756;DAPPUDRAFT_304321;DAPPUDRAFT_307959;DAPPUDRAFT_308801;DAPPUDRAFT_312287;DAPPUDRAFT_317991;DAPPUDRAFT_318025;DAPPUDRAFT_319139;DAPPUDRAFT_319555;DAPPUDRAFT_321417;DAPPUDRAFT_325612;DAPPUDRAFT_327053;DAPPUDRAFT_328900;DAPPUDRAFT_338193;DAPPUDRAFT_341021;DAPPUDRAFT_341228
Dapma7bEVm002701	DAPPUDRAFT_109883
Dapma7bEVm002702	DAPPUDRAFT_301193
Dapma7bEVm002703	DAPPUDRAFT_201098;DAPPUDRAFT_213553;DAPPUDRAFT_233376;DAPPUDRAFT_304841;DAPPUDRAFT_304882;DAPPUDRAFT_304883;DAPPUDRAFT_305905;DAPPUDRAFT_319586;DAPPUDRAFT_321695;DAPPUDRAFT_46833;DAPPUDRAFT_54466;DAPPUDRAFT_54498;DAPPUDRAFT_54548;DAPPUDRAFT_54566;DAPPUDRAFT_61438;DAPPUDRAFT_65872
Dapma7bEVm002705	DAPPUDRAFT_42022
Dapma7bEVm002706	DAPPUDRAFT_202806
Dapma7bEVm002707	DAPPUDRAFT_200182
Dapma7bEVm002708	DAPPUDRAFT_104119
Dapma7bEVm002709	DAPPUDRAFT_309113
Dapma7bEVm002710	DAPPUDRAFT_328763
Dapma7bEVm002711	
Dapma7bEVm002712	DAPPUDRAFT_229422;DAPPUDRAFT_319998
Dapma7bEVm002713	DAPPUDRAFT_24132
Dapma7bEVm002714	DAPPUDRAFT_303924
Dapma7bEVm002715	DAPPUDRAFT_3781
Dapma7bEVm002716	DAPPUDRAFT_310750
Dapma7bEVm002717	DAPPUDRAFT_306850
Dapma7bEVm002718	DAPPUDRAFT_330533
Dapma7bEVm002719	DAPPUDRAFT_228686
Dapma7bEVm002720	
Dapma7bEVm002721	DAPPUDRAFT_300142
Dapma7bEVm002722	DAPPUDRAFT_301658;DAPPUDRAFT_301660
Dapma7bEVm002723	DAPPUDRAFT_307617
Dapma7bEVm002724	DAPPUDRAFT_304939
Dapma7bEVm002725	DAPPUDRAFT_220733;DAPPUDRAFT_304223
Dapma7bEVm002726	DAPPUDRAFT_58666
Dapma7bEVm002727	DAPPUDRAFT_65279
Dapma7bEVm002728	DAPPUDRAFT_347223
Dapma7bEVm002729	DAPPUDRAFT_98337
Dapma7bEVm002730	DAPPUDRAFT_228199;DAPPUDRAFT_307616;DAPPUDRAFT_309316;DAPPUDRAFT_332445
Dapma7bEVm002732	DAPPUDRAFT_306451
Dapma7bEVm002733	DAPPUDRAFT_301970;DAPPUDRAFT_53901
Dapma7bEVm002734	DAPPUDRAFT_26988
Dapma7bEVm002735	DAPPUDRAFT_322014
Dapma7bEVm002736	DAPPUDRAFT_308949
Dapma7bEVm002737	DAPPUDRAFT_306505
Dapma7bEVm002738	DAPPUDRAFT_198960
Dapma7bEVm002739	DAPPUDRAFT_312255
Dapma7bEVm002740	DAPPUDRAFT_191306
Dapma7bEVm002741	DAPPUDRAFT_240664;DAPPUDRAFT_300347
Dapma7bEVm002742	DAPPUDRAFT_101084;DAPPUDRAFT_247618
Dapma7bEVm002743	DAPPUDRAFT_302783
Dapma7bEVm002744	DAPPUDRAFT_220226
Dapma7bEVm002745	DAPPUDRAFT_237896;DAPPUDRAFT_314109
Dapma7bEVm002746	
Dapma7bEVm002747	DAPPUDRAFT_111071
Dapma7bEVm002748	DAPPUDRAFT_301718
Dapma7bEVm002749	DAPPUDRAFT_311205
Dapma7bEVm002750	DAPPUDRAFT_62047
Dapma7bEVm002751	DAPPUDRAFT_205678
Dapma7bEVm002752	
Dapma7bEVm002753	DAPPUDRAFT_321809
Dapma7bEVm002754	DAPPUDRAFT_306807
Dapma7bEVm002755	DAPPUDRAFT_316211
Dapma7bEVm002756	DAPPUDRAFT_196706;DAPPUDRAFT_211780;DAPPUDRAFT_303754;DAPPUDRAFT_318313;DAPPUDRAFT_50893
Dapma7bEVm002757	DAPPUDRAFT_245436
Dapma7bEVm002758	DAPPUDRAFT_302178
Dapma7bEVm002759	DAPPUDRAFT_302922;DAPPUDRAFT_327911;DAPPUDRAFT_60988
Dapma7bEVm002760	DAPPUDRAFT_205191
Dapma7bEVm002761	DAPPUDRAFT_223831;DAPPUDRAFT_236145;DAPPUDRAFT_302685;DAPPUDRAFT_307732;DAPPUDRAFT_308282;DAPPUDRAFT_312735;DAPPUDRAFT_312736;DAPPUDRAFT_316749;DAPPUDRAFT_318573;DAPPUDRAFT_332432;DAPPUDRAFT_58959
Dapma7bEVm002762	DAPPUDRAFT_316208
Dapma7bEVm002763	DAPPUDRAFT_312010
Dapma7bEVm002764	DAPPUDRAFT_116054
Dapma7bEVm002765	DAPPUDRAFT_305666
Dapma7bEVm002766	DAPPUDRAFT_188047;DAPPUDRAFT_224133;DAPPUDRAFT_315258;DAPPUDRAFT_46779;DAPPUDRAFT_48062
Dapma7bEVm002767	DAPPUDRAFT_200057
Dapma7bEVm002768	DAPPUDRAFT_101165;DAPPUDRAFT_273293
Dapma7bEVm002769	DAPPUDRAFT_303802
Dapma7bEVm002770	DAPPUDRAFT_319543
Dapma7bEVm002771	
Dapma7bEVm002772	DAPPUDRAFT_241101
Dapma7bEVm002773	DAPPUDRAFT_100788;DAPPUDRAFT_301915;DAPPUDRAFT_314642;DAPPUDRAFT_314645;DAPPUDRAFT_314648;DAPPUDRAFT_314656;DAPPUDRAFT_314659;DAPPUDRAFT_314661;DAPPUDRAFT_315960;DAPPUDRAFT_99477
Dapma7bEVm002774	DAPPUDRAFT_299865
Dapma7bEVm002775	DAPPUDRAFT_101429;DAPPUDRAFT_240836;DAPPUDRAFT_241065;DAPPUDRAFT_255642;DAPPUDRAFT_306853;DAPPUDRAFT_316374;DAPPUDRAFT_32853;DAPPUDRAFT_334337
Dapma7bEVm002776	DAPPUDRAFT_46385
Dapma7bEVm002777	DAPPUDRAFT_306710
Dapma7bEVm002778	DAPPUDRAFT_130340;DAPPUDRAFT_194294;DAPPUDRAFT_224487;DAPPUDRAFT_303899;DAPPUDRAFT_304390;DAPPUDRAFT_304918;DAPPUDRAFT_35749;DAPPUDRAFT_59834;DAPPUDRAFT_93775
Dapma7bEVm002779	DAPPUDRAFT_198197
Dapma7bEVm002780	DAPPUDRAFT_231247
Dapma7bEVm002781	
Dapma7bEVm002783	DAPPUDRAFT_304717
Dapma7bEVm002784	DAPPUDRAFT_226732
Dapma7bEVm002785	DAPPUDRAFT_187509
Dapma7bEVm002786	DAPPUDRAFT_63134
Dapma7bEVm002787	DAPPUDRAFT_201267;DAPPUDRAFT_223834;DAPPUDRAFT_230781;DAPPUDRAFT_267924;DAPPUDRAFT_268907;DAPPUDRAFT_268909;DAPPUDRAFT_301389;DAPPUDRAFT_302543;DAPPUDRAFT_308082;DAPPUDRAFT_313752;DAPPUDRAFT_327385;DAPPUDRAFT_55135
Dapma7bEVm002788	DAPPUDRAFT_207004
Dapma7bEVm002790	DAPPUDRAFT_208272;DAPPUDRAFT_319662
Dapma7bEVm002791	DAPPUDRAFT_310410
Dapma7bEVm002792	DAPPUDRAFT_346936
Dapma7bEVm002793	DAPPUDRAFT_262091
Dapma7bEVm002794	
Dapma7bEVm002795	DAPPUDRAFT_304659
Dapma7bEVm002796	DAPPUDRAFT_228087
Dapma7bEVm002797	DAPPUDRAFT_219469;DAPPUDRAFT_333762
Dapma7bEVm002798	DAPPUDRAFT_305579
Dapma7bEVm002799	DAPPUDRAFT_244644
Dapma7bEVm002800	DAPPUDRAFT_308438
Dapma7bEVm002801	DAPPUDRAFT_304050;DAPPUDRAFT_341829
Dapma7bEVm002802	DAPPUDRAFT_210592
Dapma7bEVm002803	DAPPUDRAFT_327489
Dapma7bEVm002804	DAPPUDRAFT_324287
Dapma7bEVm002805	DAPPUDRAFT_120465;DAPPUDRAFT_193891;DAPPUDRAFT_222572;DAPPUDRAFT_222617;DAPPUDRAFT_222627;DAPPUDRAFT_222659;DAPPUDRAFT_230549;DAPPUDRAFT_237865;DAPPUDRAFT_237897;DAPPUDRAFT_238038;DAPPUDRAFT_300280;DAPPUDRAFT_300303;DAPPUDRAFT_300304;DAPPUDRAFT_300305;DAPPUDRAFT_300430;DAPPUDRAFT_300431;DAPPUDRAFT_300433;DAPPUDRAFT_300455;DAPPUDRAFT_314167;DAPPUDRAFT_314176;DAPPUDRAFT_314180;DAPPUDRAFT_314193;DAPPUDRAFT_314194;DAPPUDRAFT_314246;DAPPUDRAFT_98929;DAPPUDRAFT_98930;DAPPUDRAFT_99013
Dapma7bEVm002806	
Dapma7bEVm002807	DAPPUDRAFT_305763
Dapma7bEVm002808	DAPPUDRAFT_305360
Dapma7bEVm002809	DAPPUDRAFT_114916;DAPPUDRAFT_188557;DAPPUDRAFT_71996
Dapma7bEVm002810	DAPPUDRAFT_253350
Dapma7bEVm002811	DAPPUDRAFT_309852
Dapma7bEVm002812	DAPPUDRAFT_303875
Dapma7bEVm002813	DAPPUDRAFT_234907
Dapma7bEVm002814	DAPPUDRAFT_302682
Dapma7bEVm002815	DAPPUDRAFT_313796
Dapma7bEVm002816	DAPPUDRAFT_112957
Dapma7bEVm002817	DAPPUDRAFT_12954
Dapma7bEVm002818	DAPPUDRAFT_226495
Dapma7bEVm002819	
Dapma7bEVm002820	DAPPUDRAFT_302191
Dapma7bEVm002821	DAPPUDRAFT_299917
Dapma7bEVm002822	DAPPUDRAFT_259592
Dapma7bEVm002823	DAPPUDRAFT_307710
Dapma7bEVm002824	DAPPUDRAFT_307809
Dapma7bEVm002825	DAPPUDRAFT_225451
Dapma7bEVm002826	DAPPUDRAFT_304197
Dapma7bEVm002827	DAPPUDRAFT_212574
Dapma7bEVm002828	DAPPUDRAFT_60765
Dapma7bEVm002829	DAPPUDRAFT_330675
Dapma7bEVm002830	DAPPUDRAFT_187647;DAPPUDRAFT_300311
Dapma7bEVm002831	DAPPUDRAFT_237361
Dapma7bEVm002832	DAPPUDRAFT_304906
Dapma7bEVm002833	DAPPUDRAFT_300689
Dapma7bEVm002834	DAPPUDRAFT_322478
Dapma7bEVm002835	DAPPUDRAFT_206336
Dapma7bEVm002836	
Dapma7bEVm002837	DAPPUDRAFT_300327;DAPPUDRAFT_301400
Dapma7bEVm002838	DAPPUDRAFT_203725
Dapma7bEVm002839	DAPPUDRAFT_304699
Dapma7bEVm002840	DAPPUDRAFT_213631
Dapma7bEVm002841	DAPPUDRAFT_202413
Dapma7bEVm002842	DAPPUDRAFT_202142
Dapma7bEVm002843	DAPPUDRAFT_237784
Dapma7bEVm002844	DAPPUDRAFT_306779
Dapma7bEVm002845	DAPPUDRAFT_311297
Dapma7bEVm002846	
Dapma7bEVm002847	DAPPUDRAFT_230618
Dapma7bEVm002848	DAPPUDRAFT_103026;DAPPUDRAFT_108484;DAPPUDRAFT_111607;DAPPUDRAFT_224483;DAPPUDRAFT_253743;DAPPUDRAFT_255633;DAPPUDRAFT_260927;DAPPUDRAFT_260938;DAPPUDRAFT_268273;DAPPUDRAFT_314237;DAPPUDRAFT_323557;DAPPUDRAFT_325755;DAPPUDRAFT_327085;DAPPUDRAFT_335870
Dapma7bEVm002849	DAPPUDRAFT_61512
Dapma7bEVm002850	DAPPUDRAFT_115861;DAPPUDRAFT_250255;DAPPUDRAFT_323209
Dapma7bEVm002851	
Dapma7bEVm002852	DAPPUDRAFT_40241
Dapma7bEVm002853	DAPPUDRAFT_222343
Dapma7bEVm002854	DAPPUDRAFT_310542
Dapma7bEVm002855	DAPPUDRAFT_322268
Dapma7bEVm002856	DAPPUDRAFT_59672
Dapma7bEVm002857	DAPPUDRAFT_329424
Dapma7bEVm002858	DAPPUDRAFT_303698
Dapma7bEVm002859	DAPPUDRAFT_309800;DAPPUDRAFT_309801
Dapma7bEVm002860	DAPPUDRAFT_299978
Dapma7bEVm002861	DAPPUDRAFT_301561
Dapma7bEVm002862	DAPPUDRAFT_347750
Dapma7bEVm002863	DAPPUDRAFT_305350
Dapma7bEVm002864	DAPPUDRAFT_218420
Dapma7bEVm002866	DAPPUDRAFT_110187;DAPPUDRAFT_118041;DAPPUDRAFT_118302;DAPPUDRAFT_266641;DAPPUDRAFT_304524;DAPPUDRAFT_305121;DAPPUDRAFT_307602;DAPPUDRAFT_315290;DAPPUDRAFT_320085;DAPPUDRAFT_330625;DAPPUDRAFT_334338;DAPPUDRAFT_96285
Dapma7bEVm002867	DAPPUDRAFT_237080
Dapma7bEVm002868	DAPPUDRAFT_331825
Dapma7bEVm002869	DAPPUDRAFT_230511
Dapma7bEVm002870	DAPPUDRAFT_304174
Dapma7bEVm002871	DAPPUDRAFT_300902;DAPPUDRAFT_93764
Dapma7bEVm002872	DAPPUDRAFT_306096;DAPPUDRAFT_67042
Dapma7bEVm002873	DAPPUDRAFT_222167
Dapma7bEVm002874	DAPPUDRAFT_231233
Dapma7bEVm002875	DAPPUDRAFT_44826
Dapma7bEVm002876	DAPPUDRAFT_307125;DAPPUDRAFT_312473;DAPPUDRAFT_97193
Dapma7bEVm002877	DAPPUDRAFT_221202
Dapma7bEVm002878	DAPPUDRAFT_299705
Dapma7bEVm002879	DAPPUDRAFT_233847
Dapma7bEVm002880	DAPPUDRAFT_302434
Dapma7bEVm002881	DAPPUDRAFT_102626
Dapma7bEVm002882	
Dapma7bEVm002883	DAPPUDRAFT_334147
Dapma7bEVm002884	DAPPUDRAFT_222316;DAPPUDRAFT_226032;DAPPUDRAFT_237158;DAPPUDRAFT_237294;DAPPUDRAFT_27551;DAPPUDRAFT_307729;DAPPUDRAFT_308972;DAPPUDRAFT_308991;DAPPUDRAFT_309050;DAPPUDRAFT_313415;DAPPUDRAFT_313480;DAPPUDRAFT_313555;DAPPUDRAFT_313586;DAPPUDRAFT_313646;DAPPUDRAFT_313673;DAPPUDRAFT_98282;DAPPUDRAFT_98286
Dapma7bEVm002885	DAPPUDRAFT_229214
Dapma7bEVm002886	DAPPUDRAFT_100672
Dapma7bEVm002887	DAPPUDRAFT_312544
Dapma7bEVm002888	DAPPUDRAFT_189944
Dapma7bEVm002889	DAPPUDRAFT_332162
Dapma7bEVm002890	DAPPUDRAFT_308807
Dapma7bEVm002891	DAPPUDRAFT_241185;DAPPUDRAFT_300599;DAPPUDRAFT_325775;DAPPUDRAFT_97163
Dapma7bEVm002892	DAPPUDRAFT_301477;DAPPUDRAFT_304819;DAPPUDRAFT_333878
Dapma7bEVm002893	DAPPUDRAFT_62581
Dapma7bEVm002894	DAPPUDRAFT_189775
Dapma7bEVm002895	
Dapma7bEVm002896	DAPPUDRAFT_304425
Dapma7bEVm002897	DAPPUDRAFT_312226
Dapma7bEVm002898	DAPPUDRAFT_219903
Dapma7bEVm002899	DAPPUDRAFT_221137
Dapma7bEVm002900	DAPPUDRAFT_64529
Dapma7bEVm002901	DAPPUDRAFT_306964
Dapma7bEVm002902	DAPPUDRAFT_96327
Dapma7bEVm002903	DAPPUDRAFT_316608
Dapma7bEVm002904	DAPPUDRAFT_300540
Dapma7bEVm002905	DAPPUDRAFT_301417
Dapma7bEVm002906	DAPPUDRAFT_306163
Dapma7bEVm002907	DAPPUDRAFT_95309
Dapma7bEVm002908	DAPPUDRAFT_224345;DAPPUDRAFT_224346
Dapma7bEVm002909	DAPPUDRAFT_210571;DAPPUDRAFT_219658;DAPPUDRAFT_223594;DAPPUDRAFT_223730;DAPPUDRAFT_230761;DAPPUDRAFT_241024;DAPPUDRAFT_302333;DAPPUDRAFT_307787;DAPPUDRAFT_316498;DAPPUDRAFT_316534
Dapma7bEVm002910	DAPPUDRAFT_235760;DAPPUDRAFT_304652;DAPPUDRAFT_43581
Dapma7bEVm002911	DAPPUDRAFT_315772
Dapma7bEVm002912	DAPPUDRAFT_307115
Dapma7bEVm002913	
Dapma7bEVm002914	DAPPUDRAFT_95315
Dapma7bEVm002915	DAPPUDRAFT_210571;DAPPUDRAFT_219658;DAPPUDRAFT_223594;DAPPUDRAFT_223730;DAPPUDRAFT_230761;DAPPUDRAFT_241024;DAPPUDRAFT_302333;DAPPUDRAFT_307787;DAPPUDRAFT_316498;DAPPUDRAFT_316534
Dapma7bEVm002916	DAPPUDRAFT_101321;DAPPUDRAFT_101596;DAPPUDRAFT_101612;DAPPUDRAFT_103243;DAPPUDRAFT_116117;DAPPUDRAFT_122804;DAPPUDRAFT_232579;DAPPUDRAFT_234434;DAPPUDRAFT_234435;DAPPUDRAFT_236522;DAPPUDRAFT_238136;DAPPUDRAFT_239366;DAPPUDRAFT_239367;DAPPUDRAFT_243233;DAPPUDRAFT_260070;DAPPUDRAFT_271157
Dapma7bEVm002917	DAPPUDRAFT_187412
Dapma7bEVm002918	DAPPUDRAFT_41774;DAPPUDRAFT_67655
Dapma7bEVm002919	DAPPUDRAFT_311514
Dapma7bEVm002920	
Dapma7bEVm002921	DAPPUDRAFT_210571;DAPPUDRAFT_219658;DAPPUDRAFT_223594;DAPPUDRAFT_223730;DAPPUDRAFT_230761;DAPPUDRAFT_241024;DAPPUDRAFT_302333;DAPPUDRAFT_307787;DAPPUDRAFT_316498;DAPPUDRAFT_316534
Dapma7bEVm002922	DAPPUDRAFT_230542
Dapma7bEVm002923	DAPPUDRAFT_305365
Dapma7bEVm002924	DAPPUDRAFT_310111
Dapma7bEVm002925	DAPPUDRAFT_95750
Dapma7bEVm002926	DAPPUDRAFT_231649
Dapma7bEVm002927	DAPPUDRAFT_93183
Dapma7bEVm002928	DAPPUDRAFT_307502
Dapma7bEVm002929	DAPPUDRAFT_211094
Dapma7bEVm002930	DAPPUDRAFT_307324
Dapma7bEVm002931	
Dapma7bEVm002932	DAPPUDRAFT_315059
Dapma7bEVm002933	DAPPUDRAFT_93364
Dapma7bEVm002934	DAPPUDRAFT_59294
Dapma7bEVm002935	
Dapma7bEVm002936	
Dapma7bEVm002937	DAPPUDRAFT_230622
Dapma7bEVm002938	DAPPUDRAFT_230784
Dapma7bEVm002939	
Dapma7bEVm002940	DAPPUDRAFT_225638
Dapma7bEVm002941	
Dapma7bEVm002942	DAPPUDRAFT_100315;DAPPUDRAFT_100339;DAPPUDRAFT_100422;DAPPUDRAFT_111503;DAPPUDRAFT_18310;DAPPUDRAFT_223101;DAPPUDRAFT_223182;DAPPUDRAFT_227830;DAPPUDRAFT_236610;DAPPUDRAFT_236612;DAPPUDRAFT_239749;DAPPUDRAFT_255533;DAPPUDRAFT_258271;DAPPUDRAFT_301392;DAPPUDRAFT_301394;DAPPUDRAFT_301586;DAPPUDRAFT_302348;DAPPUDRAFT_313055;DAPPUDRAFT_313056;DAPPUDRAFT_313062;DAPPUDRAFT_315104;DAPPUDRAFT_315269;DAPPUDRAFT_318119;DAPPUDRAFT_324898;DAPPUDRAFT_327020;DAPPUDRAFT_340856
Dapma7bEVm002943	DAPPUDRAFT_307449
Dapma7bEVm002944	DAPPUDRAFT_318116
Dapma7bEVm002945	DAPPUDRAFT_190410
Dapma7bEVm002946	
Dapma7bEVm002947	DAPPUDRAFT_314557
Dapma7bEVm002948	
Dapma7bEVm002949	
Dapma7bEVm002950	DAPPUDRAFT_223256
Dapma7bEVm002951	DAPPUDRAFT_219795;DAPPUDRAFT_92990
Dapma7bEVm002952	
Dapma7bEVm002953	DAPPUDRAFT_18087
Dapma7bEVm002954	DAPPUDRAFT_309244
Dapma7bEVm002955	
Dapma7bEVm002956	DAPPUDRAFT_2283;DAPPUDRAFT_307021
Dapma7bEVm002957	DAPPUDRAFT_114608;DAPPUDRAFT_227934;DAPPUDRAFT_254866;DAPPUDRAFT_313378;DAPPUDRAFT_328554;DAPPUDRAFT_335713;DAPPUDRAFT_7943;DAPPUDRAFT_99490
Dapma7bEVm002958	DAPPUDRAFT_324499
Dapma7bEVm002959	DAPPUDRAFT_129702;DAPPUDRAFT_213228;DAPPUDRAFT_301907
Dapma7bEVm002960	DAPPUDRAFT_213992;DAPPUDRAFT_260714;DAPPUDRAFT_299677;DAPPUDRAFT_307854;DAPPUDRAFT_308059;DAPPUDRAFT_308675;DAPPUDRAFT_308693;DAPPUDRAFT_314523;DAPPUDRAFT_323929;DAPPUDRAFT_329848;DAPPUDRAFT_332233
Dapma7bEVm002961	DAPPUDRAFT_324239
Dapma7bEVm002962	DAPPUDRAFT_200903
Dapma7bEVm002963	DAPPUDRAFT_98114
Dapma7bEVm002964	DAPPUDRAFT_100842;DAPPUDRAFT_100849;DAPPUDRAFT_101008;DAPPUDRAFT_102387;DAPPUDRAFT_102388;DAPPUDRAFT_104185;DAPPUDRAFT_115883;DAPPUDRAFT_223576;DAPPUDRAFT_229351;DAPPUDRAFT_240619;DAPPUDRAFT_244669;DAPPUDRAFT_246394;DAPPUDRAFT_246435;DAPPUDRAFT_249011;DAPPUDRAFT_253388;DAPPUDRAFT_253390;DAPPUDRAFT_302077;DAPPUDRAFT_307957;DAPPUDRAFT_312503;DAPPUDRAFT_315977;DAPPUDRAFT_316085;DAPPUDRAFT_325439;DAPPUDRAFT_327678;DAPPUDRAFT_333325;DAPPUDRAFT_337465
Dapma7bEVm002965	DAPPUDRAFT_265482
Dapma7bEVm002966	DAPPUDRAFT_198981;DAPPUDRAFT_47843
Dapma7bEVm002967	DAPPUDRAFT_307295
Dapma7bEVm002968	DAPPUDRAFT_318379
Dapma7bEVm002969	DAPPUDRAFT_102767
Dapma7bEVm002970	DAPPUDRAFT_46900
Dapma7bEVm002971	DAPPUDRAFT_121141;DAPPUDRAFT_309966;DAPPUDRAFT_325817
Dapma7bEVm002972	
Dapma7bEVm002973	DAPPUDRAFT_303344
Dapma7bEVm002974	DAPPUDRAFT_247897;DAPPUDRAFT_318338
Dapma7bEVm002975	DAPPUDRAFT_198312
Dapma7bEVm002976	DAPPUDRAFT_98615
Dapma7bEVm002977	DAPPUDRAFT_311061
Dapma7bEVm002978	
Dapma7bEVm002979	DAPPUDRAFT_248175
Dapma7bEVm002980	DAPPUDRAFT_328283;DAPPUDRAFT_347292;DAPPUDRAFT_347295;DAPPUDRAFT_347548
Dapma7bEVm002981	DAPPUDRAFT_226784
Dapma7bEVm002982	DAPPUDRAFT_300517
Dapma7bEVm002983	DAPPUDRAFT_305970
Dapma7bEVm002984	DAPPUDRAFT_304508
Dapma7bEVm002985	DAPPUDRAFT_300422
Dapma7bEVm002986	DAPPUDRAFT_304688
Dapma7bEVm002987	DAPPUDRAFT_250728
Dapma7bEVm002988	DAPPUDRAFT_220021
Dapma7bEVm002989	DAPPUDRAFT_303760
Dapma7bEVm002990	DAPPUDRAFT_241712
Dapma7bEVm002991	DAPPUDRAFT_306971;DAPPUDRAFT_56709
Dapma7bEVm002992	DAPPUDRAFT_316089
Dapma7bEVm002993	DAPPUDRAFT_312250
Dapma7bEVm002994	DAPPUDRAFT_300683
Dapma7bEVm002995	DAPPUDRAFT_96707
Dapma7bEVm002996	
Dapma7bEVm002997	DAPPUDRAFT_315874
Dapma7bEVm002998	DAPPUDRAFT_301633
Dapma7bEVm002999	DAPPUDRAFT_214814
Dapma7bEVm003000	DAPPUDRAFT_309094
