Dapma7bEVm000001	ENSG00000171587;ENSG00000177103
Dapma7bEVm003144	ENSG00000197208;ENSG00000197375
Dapma7bEVm003145	
Dapma7bEVm003146	ENSG00000120708;ENSG00000133110
Dapma7bEVm003147	ENSG00000149657;ENSG00000257103;ENSG00000262860
Dapma7bEVm003148	
Dapma7bEVm003149	ENSG00000132383
Dapma7bEVm003150	
Dapma7bEVm003151	
Dapma7bEVm003152	ENSG00000105641;ENSG00000138074;ENSG00000148942;ENSG00000256870;ENSG00000262217
Dapma7bEVm003153	
Dapma7bEVm003154	ENSG00000135736;ENSG00000150636
Dapma7bEVm003155	ENSG00000155275
Dapma7bEVm003156	ENSG00000113312;ENSG00000154174
Dapma7bEVm003157	
Dapma7bEVm003158	ENSG00000146409
Dapma7bEVm003160	ENSG00000092470
Dapma7bEVm003161	ENSG00000109586
Dapma7bEVm003162	ENSG00000109066
Dapma7bEVm003163	ENSG00000136631
Dapma7bEVm003164	
Dapma7bEVm003165	ENSG00000135801;ENSG00000148835
Dapma7bEVm003166	ENSG00000125633
Dapma7bEVm003167	ENSG00000109775;ENSG00000176125
Dapma7bEVm003168	
Dapma7bEVm003169	
Dapma7bEVm003170	ENSG00000101997
Dapma7bEVm003171	ENSG00000008405;ENSG00000121671
Dapma7bEVm003172	ENSG00000183260;ENSG00000204427;ENSG00000206403;ENSG00000224552;ENSG00000230475;ENSG00000231488;ENSG00000235676;ENSG00000236063
Dapma7bEVm003173	ENSG00000114200
Dapma7bEVm003174	ENSG00000109670
Dapma7bEVm003175	
Dapma7bEVm003176	ENSG00000109181;ENSG00000135220;ENSG00000135226;ENSG00000145626;ENSG00000156096;ENSG00000167165;ENSG00000168671;ENSG00000171234;ENSG00000173610;ENSG00000174607;ENSG00000196620;ENSG00000197888;ENSG00000213759;ENSG00000240224;ENSG00000241119;ENSG00000241635;ENSG00000242366;ENSG00000242515;ENSG00000243135;ENSG00000244122;ENSG00000244474;ENSG00000271271;ENSG00000275190;ENSG00000277132;ENSG00000278216
Dapma7bEVm003177	
Dapma7bEVm003178	ENSG00000162551;ENSG00000163283;ENSG00000163286;ENSG00000163295
Dapma7bEVm003179	ENSG00000109181;ENSG00000135220;ENSG00000135226;ENSG00000145626;ENSG00000156096;ENSG00000167165;ENSG00000168671;ENSG00000171234;ENSG00000173610;ENSG00000174607;ENSG00000196620;ENSG00000197888;ENSG00000213759;ENSG00000240224;ENSG00000241119;ENSG00000241635;ENSG00000242366;ENSG00000242515;ENSG00000243135;ENSG00000244122;ENSG00000244474;ENSG00000271271;ENSG00000275190;ENSG00000277132;ENSG00000278216
Dapma7bEVm003180	
Dapma7bEVm003181	ENSG00000100652;ENSG00000125255;ENSG00000145248;ENSG00000145283
Dapma7bEVm003182	ENSG00000109654;ENSG00000110171;ENSG00000206557
Dapma7bEVm003183	ENSG00000016082;ENSG00000159556
Dapma7bEVm003184	
Dapma7bEVm003185	ENSG00000136856;ENSG00000146411;ENSG00000151229;ENSG00000160326;ENSG00000197496;ENSG00000281165
Dapma7bEVm003186	
Dapma7bEVm003187	ENSG00000110619;ENSG00000134905;ENSG00000278191
Dapma7bEVm003188	ENSG00000145861;ENSG00000159189;ENSG00000163145;ENSG00000173369;ENSG00000173372;ENSG00000181092;ENSG00000182447;ENSG00000205863;ENSG00000240654
Dapma7bEVm003189	ENSG00000073060;ENSG00000135218;ENSG00000138760
Dapma7bEVm003190	ENSG00000158156;ENSG00000171044;ENSG00000206579;ENSG00000221947;ENSG00000260903;ENSG00000275591
Dapma7bEVm003191	ENSG00000019186;ENSG00000111012;ENSG00000135929;ENSG00000140459;ENSG00000160882;ENSG00000179142;ENSG00000186684
Dapma7bEVm003192	ENSG00000116478;ENSG00000171720;ENSG00000196591
Dapma7bEVm003193	
Dapma7bEVm003194	
Dapma7bEVm003195	ENSG00000115850;ENSG00000133116;ENSG00000134962;ENSG00000188501
Dapma7bEVm003196	ENSG00000119899
Dapma7bEVm003197	ENSG00000118514;ENSG00000143149
Dapma7bEVm003198	
Dapma7bEVm003199	ENSG00000083720;ENSG00000198754
Dapma7bEVm003200	ENSG00000186141
Dapma7bEVm003201	ENSG00000137700;ENSG00000281500
Dapma7bEVm003202	ENSG00000148158;ENSG00000162627
Dapma7bEVm003203	ENSG00000064763;ENSG00000197601
Dapma7bEVm003204	
Dapma7bEVm003205	ENSG00000125505;ENSG00000273592;ENSG00000274194;ENSG00000275118;ENSG00000276935;ENSG00000277025;ENSG00000277733;ENSG00000277923;ENSG00000278322;ENSG00000278519
Dapma7bEVm003206	ENSG00000163053;ENSG00000165449;ENSG00000168679;ENSG00000174327
Dapma7bEVm003207	ENSG00000109181;ENSG00000135220;ENSG00000135226;ENSG00000145626;ENSG00000156096;ENSG00000167165;ENSG00000168671;ENSG00000171234;ENSG00000173610;ENSG00000174607;ENSG00000196620;ENSG00000197888;ENSG00000213759;ENSG00000240224;ENSG00000241119;ENSG00000241635;ENSG00000242366;ENSG00000242515;ENSG00000243135;ENSG00000244122;ENSG00000244474;ENSG00000271271;ENSG00000275190;ENSG00000277132;ENSG00000278216
Dapma7bEVm003208	ENSG00000105325;ENSG00000117399;ENSG00000164287
Dapma7bEVm003209	ENSG00000113492;ENSG00000164089;ENSG00000175309
Dapma7bEVm003210	
Dapma7bEVm003211	ENSG00000114544;ENSG00000133065;ENSG00000136052
Dapma7bEVm003212	ENSG00000063761;ENSG00000173137
Dapma7bEVm003213	ENSG00000147364;ENSG00000156804
Dapma7bEVm003214	
Dapma7bEVm003215	ENSG00000069696;ENSG00000276825
Dapma7bEVm003216	ENSG00000102393;ENSG00000198951
Dapma7bEVm003217	ENSG00000023445;ENSG00000101197;ENSG00000101966;ENSG00000110330;ENSG00000163098
Dapma7bEVm003218	ENSG00000260230
Dapma7bEVm003219	
Dapma7bEVm003220	
Dapma7bEVm003221	ENSG00000089902;ENSG00000117625;ENSG00000167771
Dapma7bEVm003222	ENSG00000115211
Dapma7bEVm003223	
Dapma7bEVm003224	ENSG00000010282;ENSG00000054392;ENSG00000280680
Dapma7bEVm003225	ENSG00000072182;ENSG00000108684;ENSG00000110881;ENSG00000111319;ENSG00000162572;ENSG00000166828;ENSG00000168447;ENSG00000213199;ENSG00000256394;ENSG00000262505
Dapma7bEVm003226	
Dapma7bEVm003227	ENSG00000105672;ENSG00000134954;ENSG00000154727;ENSG00000157557
Dapma7bEVm003228	ENSG00000109654;ENSG00000110171;ENSG00000206557
Dapma7bEVm003229	ENSG00000073067;ENSG00000100197;ENSG00000108242;ENSG00000130649;ENSG00000134716;ENSG00000138109;ENSG00000138115;ENSG00000155016;ENSG00000165841;ENSG00000167600;ENSG00000186104;ENSG00000197408;ENSG00000197446;ENSG00000197838;ENSG00000198077;ENSG00000205702;ENSG00000255974;ENSG00000275211;ENSG00000280905;ENSG00000282966;ENSG00000283284
Dapma7bEVm003230	ENSG00000175311;ENSG00000182040;ENSG00000284290
Dapma7bEVm003231	
Dapma7bEVm003232	ENSG00000051128;ENSG00000103942;ENSG00000152413
Dapma7bEVm003233	ENSG00000136891
Dapma7bEVm003234	
Dapma7bEVm003235	
Dapma7bEVm003236	ENSG00000110148;ENSG00000163394
Dapma7bEVm003237	ENSG00000100364
Dapma7bEVm003238	ENSG00000006757;ENSG00000100341;ENSG00000100344;ENSG00000177666;ENSG00000180316
Dapma7bEVm003239	
Dapma7bEVm003240	ENSG00000119689
Dapma7bEVm003241	ENSG00000143756
Dapma7bEVm003242	ENSG00000151812;ENSG00000183780
Dapma7bEVm003243	ENSG00000105671;ENSG00000213782
Dapma7bEVm003244	
Dapma7bEVm003245	ENSG00000139133;ENSG00000175548
Dapma7bEVm003246	ENSG00000085449;ENSG00000139668
Dapma7bEVm003247	ENSG00000049883
Dapma7bEVm003248	ENSG00000253710
Dapma7bEVm003249	
Dapma7bEVm003250	ENSG00000103056
Dapma7bEVm003251	ENSG00000123643;ENSG00000180773;ENSG00000186334;ENSG00000186335
Dapma7bEVm003252	ENSG00000109861
Dapma7bEVm003253	ENSG00000107798;ENSG00000173239;ENSG00000182333;ENSG00000204020;ENSG00000204021;ENSG00000204022
Dapma7bEVm003254	ENSG00000108578
Dapma7bEVm003255	ENSG00000133101;ENSG00000145386;ENSG00000147082
Dapma7bEVm003256	
Dapma7bEVm003257	ENSG00000141030
Dapma7bEVm003258	ENSG00000165689
Dapma7bEVm003259	ENSG00000107798;ENSG00000173239;ENSG00000182333;ENSG00000204020;ENSG00000204021;ENSG00000204022
Dapma7bEVm003260	ENSG00000071553;ENSG00000205464
Dapma7bEVm003261	ENSG00000112578
Dapma7bEVm003262	
Dapma7bEVm003263	ENSG00000145861;ENSG00000159189;ENSG00000163145;ENSG00000173369;ENSG00000173372;ENSG00000181092;ENSG00000182447;ENSG00000205863;ENSG00000240654
Dapma7bEVm003264	ENSG00000106628
Dapma7bEVm003265	ENSG00000107807;ENSG00000115297;ENSG00000164438
Dapma7bEVm003266	ENSG00000165006
Dapma7bEVm003267	ENSG00000123130
Dapma7bEVm003268	ENSG00000108963;ENSG00000132768
Dapma7bEVm003269	ENSG00000120705
Dapma7bEVm003270	ENSG00000166479
Dapma7bEVm003271	ENSG00000010072
Dapma7bEVm003272	ENSG00000100612;ENSG00000109016;ENSG00000184544
Dapma7bEVm003273	ENSG00000070718;ENSG00000185009
Dapma7bEVm003274	
Dapma7bEVm003275	ENSG00000139323;ENSG00000164087
Dapma7bEVm003276	ENSG00000185917
Dapma7bEVm003277	ENSG00000148356
Dapma7bEVm003278	ENSG00000013275;ENSG00000087191;ENSG00000100519;ENSG00000100764;ENSG00000161057;ENSG00000165916;ENSG00000281221
Dapma7bEVm003279	ENSG00000132589;ENSG00000137312;ENSG00000206379;ENSG00000206480;ENSG00000223654;ENSG00000224740;ENSG00000230143;ENSG00000232280
Dapma7bEVm003280	
Dapma7bEVm003281	ENSG00000101811;ENSG00000177613
Dapma7bEVm003282	ENSG00000162236
Dapma7bEVm003283	ENSG00000172239
Dapma7bEVm003284	ENSG00000198130
Dapma7bEVm003285	ENSG00000120500;ENSG00000130561;ENSG00000137486;ENSG00000141480;ENSG00000281857
Dapma7bEVm003286	ENSG00000116455
Dapma7bEVm003287	ENSG00000137054
Dapma7bEVm003288	ENSG00000187954
Dapma7bEVm003289	ENSG00000013275;ENSG00000087191;ENSG00000100519;ENSG00000100764;ENSG00000161057;ENSG00000165916;ENSG00000281221
Dapma7bEVm003290	ENSG00000128242;ENSG00000154252;ENSG00000175229;ENSG00000197093;ENSG00000276126
Dapma7bEVm003291	ENSG00000198715
Dapma7bEVm003292	
Dapma7bEVm003293	
Dapma7bEVm003294	ENSG00000125875
Dapma7bEVm003295	ENSG00000005801;ENSG00000006194;ENSG00000010539;ENSG00000011590;ENSG00000018869;ENSG00000019485;ENSG00000062370;ENSG00000063587;ENSG00000066422;ENSG00000066827;ENSG00000075407;ENSG00000081386;ENSG00000081665;ENSG00000083812;ENSG00000083814;ENSG00000083817;ENSG00000083828;ENSG00000083838;ENSG00000083844;ENSG00000085274;ENSG00000085644;ENSG00000088876;ENSG00000089335;ENSG00000090612;ENSG00000096654;ENSG00000099326;ENSG00000100105;ENSG00000102870;ENSG00000103199;ENSG00000103343;ENSG00000103495;ENSG00000105136;ENSG00000105497;ENSG00000105708;ENSG00000105732;ENSG00000105750;ENSG00000106261;ENSG00000109906;ENSG00000112365;ENSG00000115568;ENSG00000116809;ENSG00000117010;ENSG00000118620;ENSG00000120784;ENSG00000121406;ENSG00000121413;ENSG00000121417;ENSG00000121903;ENSG00000122386;ENSG00000124459;ENSG00000124613;ENSG00000125812;ENSG00000125846;ENSG00000125945;ENSG00000126856;ENSG00000127081;ENSG00000127903;ENSG00000128000;ENSG00000130182;ENSG00000130544;ENSG00000130684;ENSG00000130803;ENSG00000130818;ENSG00000130844;ENSG00000130856;ENSG00000131061;ENSG00000131115;ENSG00000131127;ENSG00000131845;ENSG00000131849;ENSG00000132010;ENSG00000136866;ENSG00000136870;ENSG00000137185;ENSG00000138738;ENSG00000140265;ENSG00000140987;ENSG00000141040;ENSG00000141946;ENSG00000141956;ENSG00000142065;ENSG00000142409;ENSG00000142528;ENSG00000142556;ENSG00000143067;ENSG00000144026;ENSG00000144792;ENSG00000145908;ENSG00000146587;ENSG00000146757;ENSG00000147117;ENSG00000147118;ENSG00000147124;ENSG00000147789;ENSG00000149050;ENSG00000149054;ENSG00000152433;ENSG00000152439;ENSG00000152443;ENSG00000152454;ENSG00000152467;ENSG00000152475;ENSG00000152926;ENSG00000153896;ENSG00000154957;ENSG00000155592;ENSG00000156853;ENSG00000157429;ENSG00000158691;ENSG00000159882;ENSG00000159885;ENSG00000159905;ENSG00000159915;ENSG00000159917;ENSG00000160321;ENSG00000160336;ENSG00000160908;ENSG00000160961;ENSG00000161298;ENSG00000161551;ENSG00000162714;ENSG00000164011;ENSG00000164048;ENSG00000164256;ENSG00000164631;ENSG00000165512;ENSG00000166188;ENSG00000166261;ENSG00000166526;ENSG00000166529;ENSG00000166704;ENSG00000167232;ENSG00000167377;ENSG00000167380;ENSG00000167384;ENSG00000167394;ENSG00000167395;ENSG00000167528;ENSG00000167554;ENSG00000167555;ENSG00000167562;ENSG00000167625;ENSG00000167635;ENSG00000167637;ENSG00000167766;ENSG00000167785;ENSG00000167840;ENSG00000167967;ENSG00000167981;ENSG00000168661;ENSG00000168826;ENSG00000169131;ENSG00000169260;ENSG00000169740;ENSG00000169951;ENSG00000169955;ENSG00000169957;ENSG00000169981;ENSG00000170100;ENSG00000170260;ENSG00000170265;ENSG00000170619;ENSG00000170631;ENSG00000170684;ENSG00000170949;ENSG00000170954;ENSG00000171161;ENSG00000171291;ENSG00000171295;ENSG00000171466;ENSG00000171469;ENSG00000171574;ENSG00000171606;ENSG00000171649;ENSG00000171817;ENSG00000171827;ENSG00000171970;ENSG00000172000;ENSG00000172006;ENSG00000172466;ENSG00000172748;ENSG00000172888;ENSG00000173041;ENSG00000173258;ENSG00000173275;ENSG00000173480;ENSG00000173875;ENSG00000174255;ENSG00000174586;ENSG00000174652;ENSG00000175213;ENSG00000175322;ENSG00000175395;ENSG00000175691;ENSG00000175787;ENSG00000176024;ENSG00000176222;ENSG00000176293;ENSG00000177599;ENSG00000177842;ENSG00000177873;ENSG00000177888;ENSG00000177932;ENSG00000178150;ENSG00000178187;ENSG00000178229;ENSG00000178338;ENSG00000178386;ENSG00000178665;ENSG00000178917;ENSG00000178935;ENSG00000179195;ENSG00000179909;ENSG00000179922;ENSG00000179930;ENSG00000179943;ENSG00000179965;ENSG00000180035;ENSG00000180257;ENSG00000180479;ENSG00000180626;ENSG00000180787;ENSG00000180855;ENSG00000180884;ENSG00000180938;ENSG00000181007;ENSG00000181135;ENSG00000181220;ENSG00000181315;ENSG00000181444;ENSG00000181450;ENSG00000181638;ENSG00000181666;ENSG00000181894;ENSG00000181896;ENSG00000182111;ENSG00000182141;ENSG00000182318;ENSG00000182903;ENSG00000182983;ENSG00000182986;ENSG00000183309;ENSG00000183647;ENSG00000183850;ENSG00000184517;ENSG00000184635;ENSG00000184677;ENSG00000184939;ENSG00000185177;ENSG00000185219;ENSG00000185252;ENSG00000185730;ENSG00000185869;ENSG00000185947;ENSG00000186017;ENSG00000186020;ENSG00000186026;ENSG00000186230;ENSG00000186272;ENSG00000186300;ENSG00000186446;ENSG00000186448;ENSG00000186496;ENSG00000186777;ENSG00000186812;ENSG00000186814;ENSG00000187187;ENSG00000187607;ENSG00000187792;ENSG00000187801;ENSG00000187815;ENSG00000187987;ENSG00000188033;ENSG00000188171;ENSG00000188227;ENSG00000188283;ENSG00000188295;ENSG00000188321;ENSG00000188629;ENSG00000188785;ENSG00000188868;ENSG00000189042;ENSG00000189144;ENSG00000189164;ENSG00000189180;ENSG00000189190;ENSG00000189420;ENSG00000196081;ENSG00000196110;ENSG00000196150;ENSG00000196152;ENSG00000196172;ENSG00000196214;ENSG00000196247;ENSG00000196263;ENSG00000196267;ENSG00000196268;ENSG00000196345;ENSG00000196350;ENSG00000196357;ENSG00000196378;ENSG00000196381;ENSG00000196387;ENSG00000196391;ENSG00000196417;ENSG00000196418;ENSG00000196437;ENSG00000196453;ENSG00000196456;ENSG00000196458;ENSG00000196466;ENSG00000196597;ENSG00000196605;ENSG00000196646;ENSG00000196652;ENSG00000196653;ENSG00000196670;ENSG00000196693;ENSG00000196705;ENSG00000196724;ENSG00000196757;ENSG00000196793;ENSG00000196812;ENSG00000196867;ENSG00000196946;ENSG00000196967;ENSG00000197008;ENSG00000197013;ENSG00000197016;ENSG00000197020;ENSG00000197024;ENSG00000197037;ENSG00000197044;ENSG00000197054;ENSG00000197062;ENSG00000197123;ENSG00000197124;ENSG00000197128;ENSG00000197134;ENSG00000197162;ENSG00000197279;ENSG00000197343;ENSG00000197360;ENSG00000197362;ENSG00000197363;ENSG00000197372;ENSG00000197385;ENSG00000197472;ENSG00000197483;ENSG00000197497;ENSG00000197566;ENSG00000197608;ENSG00000197619;ENSG00000197647;ENSG00000197714;ENSG00000197779;ENSG00000197782;ENSG00000197808;ENSG00000197841;ENSG00000197857;ENSG00000197863;ENSG00000197928;ENSG00000197933;ENSG00000197935;ENSG00000197937;ENSG00000197951;ENSG00000197961;ENSG00000198026;ENSG00000198028;ENSG00000198039;ENSG00000198040;ENSG00000198046;ENSG00000198093;ENSG00000198105;ENSG00000198131;ENSG00000198146;ENSG00000198169;ENSG00000198182;ENSG00000198185;ENSG00000198298;ENSG00000198300;ENSG00000198315;ENSG00000198342;ENSG00000198346;ENSG00000198393;ENSG00000198429;ENSG00000198440;ENSG00000198453;ENSG00000198464;ENSG00000198466;ENSG00000198482;ENSG00000198521;ENSG00000198538;ENSG00000198551;ENSG00000198556;ENSG00000198633;ENSG00000198816;ENSG00000198939;ENSG00000203326;ENSG00000204514;ENSG00000204519;ENSG00000204524;ENSG00000204604;ENSG00000204611;ENSG00000204644;ENSG00000204859;ENSG00000204920;ENSG00000204946;ENSG00000204947;ENSG00000205903;ENSG00000206510;ENSG00000213020;ENSG00000213096;ENSG00000213762;ENSG00000213793;ENSG00000213799;ENSG00000213967;ENSG00000213973;ENSG00000213988;ENSG00000214022;ENSG00000214029;ENSG00000214189;ENSG00000214534;ENSG00000214652;ENSG00000215343;ENSG00000215356;ENSG00000215372;ENSG00000215421;ENSG00000218891;ENSG00000221923;ENSG00000221994;ENSG00000223547;ENSG00000223614;ENSG00000223687;ENSG00000223852;ENSG00000223858;ENSG00000225351;ENSG00000226858;ENSG00000227124;ENSG00000227858;ENSG00000228623;ENSG00000229676;ENSG00000229809;ENSG00000232099;ENSG00000233831;ENSG00000234284;ENSG00000234444;ENSG00000234669;ENSG00000235109;ENSG00000235178;ENSG00000235589;ENSG00000236609;ENSG00000237440;ENSG00000242852;ENSG00000245680;ENSG00000249459;ENSG00000249471;ENSG00000249709;ENSG00000250312;ENSG00000250571;ENSG00000251192;ENSG00000251247;ENSG00000251369;ENSG00000254004;ENSG00000256087;ENSG00000256223;ENSG00000256229;ENSG00000256294;ENSG00000256683;ENSG00000256771;ENSG00000257446;ENSG00000257591;ENSG00000258405;ENSG00000261221;ENSG00000261459;ENSG00000263002;ENSG00000264668;ENSG00000267041;ENSG00000267508;ENSG00000267680;ENSG00000269067;ENSG00000269343;ENSG00000269699;ENSG00000270011;ENSG00000272602;ENSG00000274195;ENSG00000274349;ENSG00000274352;ENSG00000274746;ENSG00000275111;ENSG00000276340;ENSG00000277462;ENSG00000278062;ENSG00000278091;ENSG00000278129;ENSG00000278318;ENSG00000278780;ENSG00000279566;ENSG00000280568;ENSG00000280661;ENSG00000281306;ENSG00000281448;ENSG00000281526;ENSG00000281601;ENSG00000281626;ENSG00000281661;ENSG00000281709;ENSG00000281894;ENSG00000283009;ENSG00000283034
Dapma7bEVm003296	ENSG00000177830
Dapma7bEVm003297	ENSG00000086288;ENSG00000112981;ENSG00000143156;ENSG00000172113;ENSG00000181322
Dapma7bEVm003298	ENSG00000119318;ENSG00000179262
Dapma7bEVm003299	ENSG00000013275;ENSG00000087191;ENSG00000100519;ENSG00000100764;ENSG00000161057;ENSG00000165916;ENSG00000281221
Dapma7bEVm003300	ENSG00000083123;ENSG00000168291
Dapma7bEVm003301	ENSG00000121897
Dapma7bEVm003302	ENSG00000148459
Dapma7bEVm003303	
Dapma7bEVm003304	
Dapma7bEVm003305	ENSG00000060971;ENSG00000075239;ENSG00000120437;ENSG00000167315
Dapma7bEVm003306	ENSG00000069399;ENSG00000100906;ENSG00000104825;ENSG00000146232;ENSG00000282905
Dapma7bEVm003307	ENSG00000002745;ENSG00000105989;ENSG00000134245;ENSG00000154764;ENSG00000162552;ENSG00000188064
Dapma7bEVm003308	
Dapma7bEVm003309	ENSG00000159352
Dapma7bEVm003310	ENSG00000100227
Dapma7bEVm003311	ENSG00000104537;ENSG00000109511;ENSG00000122359;ENSG00000135046;ENSG00000138279;ENSG00000138772;ENSG00000164111;ENSG00000182718;ENSG00000196975;ENSG00000197043;ENSG00000264230;ENSG00000265190
Dapma7bEVm003312	ENSG00000122375
Dapma7bEVm003313	
Dapma7bEVm003314	ENSG00000175203
Dapma7bEVm003315	ENSG00000162928
Dapma7bEVm003316	ENSG00000104331;ENSG00000162813
Dapma7bEVm003317	
Dapma7bEVm003318	ENSG00000090432
Dapma7bEVm003319	ENSG00000175711;ENSG00000277033
Dapma7bEVm003320	
Dapma7bEVm003321	
Dapma7bEVm003322	
Dapma7bEVm003323	ENSG00000107614
Dapma7bEVm003324	ENSG00000196511;ENSG00000285075
Dapma7bEVm003325	
Dapma7bEVm003326	ENSG00000134882
Dapma7bEVm003327	
Dapma7bEVm003328	ENSG00000102100;ENSG00000117620;ENSG00000164414
Dapma7bEVm003329	ENSG00000016864;ENSG00000120820
Dapma7bEVm003330	ENSG00000131043
Dapma7bEVm003331	ENSG00000067113;ENSG00000141934;ENSG00000162407
Dapma7bEVm003332	
Dapma7bEVm003333	ENSG00000156966;ENSG00000162630;ENSG00000169255;ENSG00000170340;ENSG00000172318;ENSG00000176383;ENSG00000177191;ENSG00000179913;ENSG00000183067;ENSG00000183778;ENSG00000198488;ENSG00000206285;ENSG00000226936;ENSG00000235155;ENSG00000235863;ENSG00000236802;ENSG00000237172
Dapma7bEVm003334	
Dapma7bEVm003335	
Dapma7bEVm003336	
Dapma7bEVm003337	ENSG00000203705
Dapma7bEVm003338	ENSG00000161800
Dapma7bEVm003339	
Dapma7bEVm003340	ENSG00000100104
Dapma7bEVm003341	ENSG00000135047;ENSG00000136943;ENSG00000143387;ENSG00000163131
Dapma7bEVm003342	ENSG00000103811
Dapma7bEVm003343	ENSG00000102100;ENSG00000117620;ENSG00000164414
Dapma7bEVm003345	ENSG00000145425
Dapma7bEVm003346	ENSG00000088002;ENSG00000105398;ENSG00000109193;ENSG00000130540;ENSG00000138068;ENSG00000173597;ENSG00000196228;ENSG00000196502;ENSG00000197165;ENSG00000198075;ENSG00000198203;ENSG00000213648;ENSG00000261052
Dapma7bEVm003347	ENSG00000141580;ENSG00000196998
Dapma7bEVm003348	ENSG00000147614;ENSG00000159720
Dapma7bEVm003349	
Dapma7bEVm003350	ENSG00000113460
Dapma7bEVm003351	
Dapma7bEVm003352	ENSG00000130383;ENSG00000156413;ENSG00000171124;ENSG00000172461;ENSG00000180549;ENSG00000196371
Dapma7bEVm003353	ENSG00000175110
Dapma7bEVm003354	ENSG00000154889
Dapma7bEVm003355	ENSG00000275397;ENSG00000278535
Dapma7bEVm003356	ENSG00000120697
Dapma7bEVm003357	
Dapma7bEVm003358	ENSG00000104957
Dapma7bEVm003359	ENSG00000168288
Dapma7bEVm003360	ENSG00000097033;ENSG00000148341
Dapma7bEVm003361	ENSG00000213397
Dapma7bEVm003362	ENSG00000115042;ENSG00000144199;ENSG00000180185
Dapma7bEVm003363	ENSG00000104129;ENSG00000188277
Dapma7bEVm003364	
Dapma7bEVm003365	ENSG00000108384;ENSG00000182185
Dapma7bEVm003366	ENSG00000133265
Dapma7bEVm003367	ENSG00000076053;ENSG00000143368;ENSG00000185272
Dapma7bEVm003368	
Dapma7bEVm003369	ENSG00000131171;ENSG00000142669;ENSG00000182093;ENSG00000185437;ENSG00000198478
Dapma7bEVm003370	ENSG00000121310;ENSG00000148090
Dapma7bEVm003371	ENSG00000100276;ENSG00000270885
Dapma7bEVm003372	ENSG00000103160;ENSG00000130948;ENSG00000149084
Dapma7bEVm003373	
Dapma7bEVm003374	ENSG00000144362;ENSG00000173868
Dapma7bEVm003375	ENSG00000112357
Dapma7bEVm003376	ENSG00000105669
Dapma7bEVm003377	
Dapma7bEVm003378	
Dapma7bEVm003379	
Dapma7bEVm003380	ENSG00000143919
Dapma7bEVm003381	ENSG00000131238
Dapma7bEVm003382	
Dapma7bEVm003383	ENSG00000109919;ENSG00000137409
Dapma7bEVm003384	ENSG00000089163;ENSG00000124523
Dapma7bEVm003385	ENSG00000138207
Dapma7bEVm003386	
Dapma7bEVm003387	ENSG00000070010
Dapma7bEVm003388	ENSG00000122490
Dapma7bEVm003389	ENSG00000204952
Dapma7bEVm003390	ENSG00000075914;ENSG00000120699
Dapma7bEVm003391	ENSG00000106125
Dapma7bEVm003392	
Dapma7bEVm003393	
Dapma7bEVm003394	ENSG00000114698;ENSG00000163746;ENSG00000187838;ENSG00000188313;ENSG00000231213;ENSG00000284009
Dapma7bEVm003395	ENSG00000167969
Dapma7bEVm003396	ENSG00000223496
Dapma7bEVm003397	
Dapma7bEVm003398	ENSG00000134398;ENSG00000178607
Dapma7bEVm003399	ENSG00000136514;ENSG00000163825;ENSG00000175077;ENSG00000188011;ENSG00000198471;ENSG00000277949
Dapma7bEVm003400	ENSG00000087076
Dapma7bEVm003401	ENSG00000156603
Dapma7bEVm003402	
Dapma7bEVm003403	ENSG00000111669
Dapma7bEVm003404	
Dapma7bEVm003405	ENSG00000084733;ENSG00000143545;ENSG00000166128;ENSG00000167461
Dapma7bEVm003406	ENSG00000122140
Dapma7bEVm003407	ENSG00000094916;ENSG00000108468;ENSG00000122565
Dapma7bEVm003408	
Dapma7bEVm003409	
Dapma7bEVm003410	ENSG00000183828
Dapma7bEVm003411	
Dapma7bEVm003412	ENSG00000130204;ENSG00000158882
Dapma7bEVm003413	
Dapma7bEVm003414	ENSG00000124196;ENSG00000170627
Dapma7bEVm003415	ENSG00000100567;ENSG00000143106
Dapma7bEVm003416	
Dapma7bEVm003417	ENSG00000105677
Dapma7bEVm003418	ENSG00000146267
Dapma7bEVm003419	
Dapma7bEVm003420	ENSG00000163832
Dapma7bEVm003421	
Dapma7bEVm003422	ENSG00000125656
Dapma7bEVm003423	
Dapma7bEVm003424	ENSG00000150456
Dapma7bEVm003425	ENSG00000101166;ENSG00000141391
Dapma7bEVm003426	
Dapma7bEVm003427	ENSG00000116690
Dapma7bEVm003428	
Dapma7bEVm003429	
Dapma7bEVm003430	ENSG00000126432
Dapma7bEVm003431	
Dapma7bEVm003432	ENSG00000131100;ENSG00000250565
Dapma7bEVm003433	
Dapma7bEVm003434	
Dapma7bEVm003435	ENSG00000008018;ENSG00000275903;ENSG00000277791
Dapma7bEVm003436	
Dapma7bEVm003437	ENSG00000119280
Dapma7bEVm003438	ENSG00000063241;ENSG00000066583
Dapma7bEVm003439	
Dapma7bEVm003440	
Dapma7bEVm003441	
Dapma7bEVm003442	
Dapma7bEVm003443	ENSG00000105519;ENSG00000152611
Dapma7bEVm003444	ENSG00000121211
Dapma7bEVm003445	
Dapma7bEVm003446	ENSG00000003436;ENSG00000105825
Dapma7bEVm003447	
Dapma7bEVm003448	ENSG00000105519;ENSG00000152611
Dapma7bEVm003449	
Dapma7bEVm003450	
Dapma7bEVm003451	ENSG00000130725;ENSG00000184182
Dapma7bEVm003452	ENSG00000115268
